patric_id	locus_tag	product	gene
1254.353.peg.1263	HN015_06265	Cell division protein FtsA	ftsA
1254.353.peg.1264	HN015_06270	Cell division protein FtsQ	
1254.353.peg.1265	HN015_06275	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	murG
1254.353.peg.1266	HN015_06280	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase (EC 6.3.2.9)	
1254.353.peg.1267	HN015_06285	Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	
1254.353.peg.1268	HN015_06290	Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	
1254.353.peg.1269	HN015_06295	Cell division protein FtsL	ftsL
1254.353.peg.127	HN015_00600	FIG00906580: hypothetical protein	
1254.353.peg.1270	HN015_06300	16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)	rsmH
1254.353.peg.1271	HN015_06305	Transcriptional regulator MraZ	mraZ
1254.353.peg.1272	HN015_06310	DUF4044 domain-containing protein	
1254.353.peg.1274	HN015_06315	DNA translocase FtsK	
1254.353.peg.1275	HN015_06320	tRNA (cytidine(34)-2'-O)-methyltransferase (EC 2.1.1.207)	
1254.353.peg.1276	HN015_06325	UPF0118 membrane protein YubA	
1254.353.peg.1277	HN015_06330	PTS system%2C glucitol/sorbitol-specific IIA component (EC 2.7.1.198)	
1254.353.peg.1278	HN015_06335	6-phosphogluconolactonase (EC 3.1.1.31)	
1254.353.peg.1279	HN015_06340	Cytoplasmic copper homeostasis protein CutC	
1254.353.peg.128	HN015_00605	N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126)	murQ
1254.353.peg.1280	HN015_06345	Mg/Co/Ni transporter MgtE%2C CBS domain-containing	mgtE
1254.353.peg.1281	HN015_06350	Similar to ribosomal large subunit pseudouridine synthase D%2C Bacillus subtilis YjbO type	
1254.353.peg.1282	HN015_06355	NAD kinase (EC 2.7.1.23)	
1254.353.peg.1283	HN015_06360	GTP pyrophosphokinase (EC 2.7.6.5)	
1254.353.peg.1284	HN015_06365	FIG00002411: Thioredoxin-fold protein	
1254.353.peg.1285	HN015_06370	Competence protein CoiA	
1254.353.peg.1286	HN015_06375	ClpCP protease substrate adapter protein MecA	
1254.353.peg.1287	HN015_06380	Regulatory protein Spx	spxA
1254.353.peg.1288	HN015_06385	Metal-dependent hydrolase of the beta-lactamase superfamily III	
1254.353.peg.1289	HN015_06390	FIG00906241: hypothetical protein	
1254.353.peg.129	HN015_00610	PTS system%2C N-acetylmuramic acid-specific IIB component (EC 2.7.1.192) / PTS system%2C N-acetylmuramic acid-specific IIC component / PTS system%2C N-acetylmuramic acid-specific IIA component (EC 2.7.1.192)	
1254.353.peg.1290	HN015_06395	hypothetical protein	
1254.353.peg.1291	HN015_06465	General stress protein 13	
1254.353.peg.1292	HN015_06470	DedA protein	
1254.353.peg.1293	HN015_06475	Integral membrane protein	
1254.353.peg.1294	HN015_06480	Hypothetical NagD-like phosphatase	
1254.353.peg.1295	HN015_06485	Hypothetical DUF1027 domain protein	
1254.353.peg.1296	HN015_06490	Phosphoesterase	
1254.353.peg.1297	HN015_06495	Adenine-specific methyltransferase (EC 2.1.1.72)	
1254.353.peg.1298	HN015_06500	hypothetical protein	
1254.353.peg.1299	HN015_06505	Late competence protein ComGF%2C access of DNA to ComEA%2C FIG012620	
1254.353.peg.13	HN015_00055	LSU ribosomal protein L9p	rplI
1254.353.peg.130	HN015_00615	RpiR family transcriptional regulator YbbH%2C clustered with N-acetylmuramic acid utilization	
1254.353.peg.1300	HN015_06510	hypothetical protein	
1254.353.peg.1301	HN015_06515	Late competence protein ComGD%2C access of DNA to ComEA%2C FIG038316	
1254.353.peg.1302	HN015_06520	Late competence protein ComGC%2C access of DNA to ComEA%2C FIG007487	
1254.353.peg.1303	HN015_06525	Late competence protein ComGB%2C access of DNA to ComEA	
1254.353.peg.1304	HN015_06530	Late competence protein ComGA%2C access of DNA to ComEA	tadA
1254.353.peg.1305	HN015_06535	Ribokinase (EC 2.7.1.15)	rbsK
1254.353.peg.1306	HN015_06540	Probable transcriptional regulatory protein YebC	
1254.353.peg.1307	HN015_06545	Blue copper oxidase CueO precursor	
