ID	locus_tag	product	gene	all_R1	all_R2	all_R3	bbif_R1	bbif_R2	bbif_R3	bbre_R1	bbre_R2	bbre_R3	binf_R1	binf_R2	binf_R3	bthe_R1	bthe_R2	bthe_R3	lsym_R1	lsym_R2	lsym_R3	ecol_R1	ecol_R2	ecol_R3	paci_R1	paci_R2	paci_R3
fig|1254.353.peg.1009	HN015_05020	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr%2C subfamily F2		0	0	0	5.0	4.0	4.0	0.0	0.0	0.0	9.0	127.0	16.0	6.0	5.0	8.0	34.0	0.0	18.0	13.0	38.0	64.0			
fig|1254.353.peg.101		hypothetical protein		0	0	0	6.0	2.0	5.0	2.0	1.0	0.0	4.0	39.0	21.0	0.0	6.0	7.0	7.0	8.0	8.0	11.0	26.0	39.0			
fig|1254.353.peg.1010	HN015_05025	Mg(2+) transport ATPase%2C P-type (EC 3.6.3.2)	mgtA	1	0	2	30.0	1.0	7.0	1.0	0.0	1.0	21.0	195.0	62.0	13.0	31.0	21.0	110.0	4.0	33.0	34.0	81.0	67.0			
fig|1254.353.peg.1011	HN015_05030	Multidrug resistance transporter%2C Bcr/CflA family		0	0	0	8.0	2.0	0.0	0.0	0.0	0.0	0.0	7.0	10.0	0.0	1.0	7.0	23.0	1.0	12.0	5.0	4.0	10.0			
fig|1254.353.peg.1012	HN015_05035	NAD(P)H dehydrogenase%2C quinone family		0	1	0	0.0	1.0	1.0	0.0	0.0	1.0	2.0	67.0	4.0	4.0	6.0	13.0	0.0	1.0	3.0	8.0	102.0	147.0			
fig|1254.353.peg.1013	HN015_05040	6%2C7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	6.0	0.0			
fig|1254.353.peg.1014	HN015_05045	3%2C4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)	ribA	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	2.0			
fig|1254.353.peg.1015	HN015_05050	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)		1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1016	HN015_05055	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	ribD	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	11.0	9.0			
fig|1254.353.peg.1017		hypothetical protein		0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	4.0	2.0	4.0	3.0	3.0	0.0	2.0	4.0	2.0	1.0			
fig|1254.353.peg.1018	HN015_05060	Dihydropteroate synthase (EC 2.5.1.15)	folP	2	12	0	17.0	8.0	5.0	1.0	2.0	3.0	24.0	85.0	37.0	15.0	32.0	31.0	63.0	1.0	34.0	27.0	126.0	115.0			
fig|1254.353.peg.1019	HN015_05065	Nucleoside 5-triphosphatase RdgB (dHAPTP%2C dITP%2C XTP-specific)		0	0	0	12.0	2.0	2.0	2.0	2.0	0.0	4.0	19.0	8.0	4.0	15.0	7.0	48.0	1.0	15.0	9.0	33.0	14.0			
fig|1254.353.peg.102		hypothetical protein		0	0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	2.0	0.0	0.0	0.0	5.0	4.0	4.0			
fig|1254.353.peg.1020	HN015_05070	Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)		0	0	2	20.0	6.0	5.0	0.0	3.0	7.0	10.0	52.0	35.0	10.0	22.0	20.0	141.0	0.0	48.0	19.0	124.0	129.0			
fig|1254.353.peg.1021	HN015_05075	GTP cyclohydrolase I (EC 3.5.4.16) type 1	folE	0	0	0	3.0	1.0	1.0	1.0	0.0	1.0	3.0	22.0	12.0	4.0	4.0	11.0	23.0	0.0	11.0	17.0	69.0	40.0			
fig|1254.353.peg.1022	HN015_05080	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)	folK	0	0	0	7.0	0.0	0.0	0.0	0.0	0.0	4.0	44.0	3.0	2.0	8.0	5.0	18.0	0.0	8.0	8.0	50.0	32.0			
fig|1254.353.peg.1023	HN015_05085	Dihydroneopterin aldolase (EC 4.1.2.25)	folB	0	1	1	7.0	0.0	1.0	0.0	0.0	1.0	3.0	17.0	10.0	4.0	3.0	8.0	39.0	3.0	6.0	14.0	27.0	21.0			
fig|1254.353.peg.1024	HN015_05090	Inner membrane transporter YjeM	yjeM	10	25	24	202.0	38.0	48.0	0.0	11.0	6.0	114.0	285.0	254.0	174.0	235.0	258.0	733.0	17.0	238.0	433.0	608.0	736.0			
fig|1254.353.peg.1025	HN015_05095	Peptide-methionine (S)-S-oxide reductase MsrA (EC 1.8.4.11)	msrA	0	0	1	0.0	2.0	2.0	1.0	2.0	1.0	3.0	482.0	16.0	1.0	12.0	8.0	10.0	1.0	7.0	1.0	67.0	75.0			
fig|1254.353.peg.1026	HN015_05100	Peptide-methionine (R)-S-oxide reductase MsrB (EC 1.8.4.12)	msrB	0	0	0	8.0	6.0	0.0	0.0	0.0	2.0	2.0	629.0	16.0	1.0	18.0	11.0	4.0	0.0	3.0	5.0	104.0	106.0			
fig|1254.353.peg.1027	HN015_05105	Glycerate kinase (EC 2.7.1.31)		0	0	0	7.0	0.0	2.0	0.0	2.0	0.0	14.0	44.0	14.0	7.0	19.0	14.0	7.0	0.0	5.0	1.0	13.0	19.0			
fig|1254.353.peg.1028	HN015_05110	D-glycerate transporter (predicted)		0	0	0	6.0	0.0	1.0	0.0	1.0	0.0	8.0	27.0	1.0	3.0	9.0	5.0	20.0	0.0	5.0	3.0	3.0	5.0			
fig|1254.353.peg.1029	HN015_05115	Excinuclease ABC subunit A paralog of unknown function		0	4	2	11.0	3.0	6.0	1.0	5.0	2.0	13.0	83.0	19.0	12.0	29.0	22.0	103.0	2.0	27.0	16.0	126.0	84.0			
fig|1254.353.peg.103	HN015_00485	hypothetical protein		0	0	3	8.0	3.0	8.0	0.0	3.0	1.0	3.0	47.0	26.0	18.0	14.0	9.0	58.0	5.0	29.0	11.0	59.0	89.0			
fig|1254.353.peg.1030	HN015_05120	Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)		9	11	16	82.0	49.0	41.0	2.0	17.0	6.0	81.0	597.0	277.0	95.0	164.0	159.0	351.0	7.0	120.0	173.0	1096.0	1246.0			
fig|1254.353.peg.1031	HN015_05125	Transcriptional regulator%2C LysR family		6	8	7	46.0	13.0	17.0	0.0	13.0	4.0	31.0	455.0	101.0	72.0	106.0	94.0	206.0	3.0	72.0	105.0	529.0	575.0			
fig|1254.353.peg.1032	HN015_05130	DNA topoisomerase IV subunit A (EC 5.99.1.3)	parC	0	14	10	54.0	29.0	19.0	2.0	31.0	11.0	35.0	282.0	118.0	56.0	127.0	115.0	333.0	6.0	124.0	128.0	495.0	406.0			
fig|1254.353.peg.1033	HN015_05135	DNA topoisomerase IV subunit B (EC 5.99.1.3)	parE	1	5	15	70.0	23.0	19.0	2.0	21.0	11.0	48.0	209.0	172.0	69.0	132.0	107.0	221.0	4.0	111.0	113.0	457.0	377.0			
fig|1254.353.peg.1034	HN015_05140	Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY (EC 2.3.1.n3)	plsY	0	0	1	5.0	1.0	3.0	0.0	2.0	0.0	2.0	33.0	34.0	13.0	18.0	25.0	39.0	1.0	9.0	29.0	47.0	68.0			
fig|1254.353.peg.1035	HN015_05145	LacX protein%2C plasmid		1	6	3	27.0	12.0	24.0	4.0	8.0	0.0	26.0	317.0	81.0	12.0	56.0	32.0	139.0	6.0	69.0	66.0	375.0	378.0			
fig|1254.353.peg.1036	HN015_05150	ATP-dependent hsl protease ATP-binding subunit HslU	hslU	0	4	8	41.0	28.0	17.0	2.0	4.0	7.0	41.0	337.0	58.0	15.0	61.0	52.0	150.0	8.0	67.0	72.0	303.0	312.0			
fig|1254.353.peg.1037	HN015_05155	ATP-dependent protease subunit HslV (EC 3.4.25.2)	hslV	0	0	1	13.0	2.0	9.0	0.0	1.0	3.0	8.0	35.0	15.0	3.0	15.0	15.0	35.0	1.0	30.0	14.0	61.0	26.0			
fig|1254.353.peg.1038	HN015_05160	Site-specific tyrosine recombinase XerC	xerC	0	4	1	25.0	13.0	8.0	1.0	5.0	1.0	3.0	168.0	37.0	16.0	27.0	26.0	119.0	11.0	36.0	40.0	121.0	185.0			
fig|1254.353.peg.1039	HN015_05165	DNA topoisomerase I (EC 5.99.1.2)	topA	0	1	6	99.0	16.0	22.0	2.0	14.0	3.0	25.0	389.0	108.0	64.0	101.0	75.0	423.0	5.0	169.0	97.0	335.0	316.0			
fig|1254.353.peg.104	HN015_00490	Beta-lactamase class C-like and penicillin binding proteins (PBPs) superfamily		0	0	0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	1.0	5.0	0.0	2.0	0.0	2.0	0.0			
fig|1254.353.peg.1040	HN015_05170	Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	dprA	0	0	0	1.0	1.0	3.0	0.0	1.0	1.0	0.0	24.0	12.0	0.0	2.0	11.0	14.0	0.0	4.0	10.0	2.0	12.0			
fig|1254.353.peg.1041	HN015_05175	Ribonuclease HII (EC 3.1.26.4)		0	1	1	6.0	10.0	4.0	0.0	3.0	1.0	6.0	92.0	25.0	3.0	17.0	10.0	40.0	0.0	20.0	23.0	114.0	105.0			
fig|1254.353.peg.1042	HN015_05180	LSU ribosomal maturation GTPase RbgA (B. subtilis YlqF)	ylqF	0	6	3	5.0	8.0	15.0	1.0	3.0	1.0	0.0	152.0	19.0	6.0	24.0	17.0	68.0	0.0	17.0	18.0	159.0	95.0			
fig|1254.353.peg.1043	HN015_05185	hypothetical protein		1	3	1	0.0	1.0	3.0	0.0	0.0	0.0	11.0	81.0	13.0	0.0	22.0	12.0	3.0	0.0	2.0	10.0	41.0	57.0			
fig|1254.353.peg.1044	HN015_05190	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1045	HN015_05195	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1046	HN015_05200	beta-galactosidase (EC 3.2.1.23)		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1047	HN015_05205	Lactose and galactose permease%2C GPH translocator family		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1048		Lactose and galactose permease%2C GPH translocator family		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1049	HN015_05210	beta-galactosidase (EC 3.2.1.23)		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.105	HN015_00495	hypothetical protein		0	0	0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	4.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1050	HN015_05215	Sucrose permease%2C major facilitator superfamily		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1051	HN015_05220	Arabinose operon regulatory protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1052	HN015_05225	Uncharacterized protein YphG%2C TPR-domain containing		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1053	HN015_05230	Aldose 1-epimerase (EC 5.1.3.3)		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1054	HN015_05235	PTS system%2C N-acetylglucosamine-specific IIC component / PTS system%2C N-acetylglucosamine-specific IIB component (EC 2.7.1.193)		2	54	34	0.0	8.0	3.0	1.0	3.0	0.0	19.0	223.0	26.0	13.0	35.0	38.0	1.0	0.0	2.0	255.0	890.0	816.0			
fig|1254.353.peg.1055	HN015_05240	NADH peroxidase Npx (EC 1.11.1.1)		29	34	45	72.0	125.0	95.0	12.0	6.0	12.0	98.0	3630.0	175.0	64.0	188.0	118.0	173.0	25.0	84.0	376.0	3185.0	3476.0			
fig|1254.353.peg.1056	HN015_05245	3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)		0	0	0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	6.0	12.0	0.0			
fig|1254.353.peg.1057	HN015_05250	hypothetical protein		0	3	1	6.0	5.0	6.0	0.0	3.0	0.0	1.0	82.0	28.0	3.0	9.0	14.0	18.0	0.0	8.0	14.0	66.0	124.0			
fig|1254.353.peg.1058	HN015_05255	Lantibiotic ABC transporter		0	0	0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	11.0	1.0	0.0	1.0	4.0	5.0	1.0	2.0	2.0	14.0	20.0			
fig|1254.353.peg.1059	HN015_05260	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	1.0	0.0	1.0	3.0	6.0	1.0	1.0	7.0	16.0	0.0			
fig|1254.353.peg.106	HN015_00500	hypothetical protein		0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1060	HN015_05265	Lantibiotic transport ATP-binding protein srtF		2	0	2	7.0	0.0	3.0	1.0	0.0	2.0	0.0	53.0	12.0	2.0	9.0	7.0	23.0	0.0	4.0	17.0	54.0	66.0			
fig|1254.353.peg.1061	HN015_05270	ClpE-like protein		37	132	157	254.0	326.0	315.0	47.0	110.0	78.0	376.0	13909.0	1080.0	372.0	842.0	728.0	1076.0	45.0	457.0	889.0	10000.0	8043.0			
fig|1254.353.peg.1062	HN015_05275	hypothetical protein		0	0	0	5.0	0.0	1.0	0.0	0.0	0.0	3.0	38.0	17.0	3.0	0.0	11.0	31.0	2.0	17.0	1.0	24.0	35.0			
fig|1254.353.peg.1063	HN015_05280	hypothetical protein		0	0	0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	5.0	0.0	0.0	0.0			
fig|1254.353.peg.1064	HN015_05285	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1065	HN015_05290	hypothetical protein		0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0			
fig|1254.353.peg.1066	HN015_05295	hypothetical protein		0	0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1067	HN015_05300	cysteine hydrolase		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1068	HN015_05305	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	purD	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	7.0	0.0	0.0	0.0			
fig|1254.353.peg.1069	HN015_05310	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	purH	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	8.0	0.0	0.0	0.0			
fig|1254.353.peg.107	HN015_00505	hypothetical protein		0	0	0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	2.0	3.0	0.0	2.0	1.0	21.0	8.0			
fig|1254.353.peg.1070	HN015_05315	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	purN	0	0	0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0			
fig|1254.353.peg.1071	HN015_05320	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)		0	0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0			
fig|1254.353.peg.1072	HN015_05325	Amidophosphoribosyltransferase (EC 2.4.2.14)		0	0	0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	3.0	0.0	0.0	0.0			
fig|1254.353.peg.1073	HN015_05330	Phosphoribosylformylglycinamidine synthase%2C synthetase subunit (EC 6.3.5.3)	purL	0	0	0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	4.0	0.0	0.0	0.0			
fig|1254.353.peg.1074	HN015_05335	Phosphoribosylformylglycinamidine synthase%2C glutamine amidotransferase subunit (EC 6.3.5.3)	purQ	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
fig|1254.353.peg.1075	HN015_05340	Phosphoribosylformylglycinamidine synthase%2C PurS subunit (EC 6.3.5.3)	purS	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1076	HN015_05345	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0			
fig|1254.353.peg.1077	HN015_05350	N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)	purK	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	0.0			
fig|1254.353.peg.1078	HN015_05355	N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)	purE	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0			
fig|1254.353.peg.1079	HN015_05360	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.108	HN015_00510	hypothetical protein		0	0	0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	42.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	65.0	45.0			
fig|1254.353.peg.1080	HN015_05365	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1081	HN015_05370	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1082	HN015_05375	Lantibiotic ABC transporter permease		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1083	HN015_05380	Efflux ABC transporter%2C ATP-binding protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1084	HN015_05385	Transcriptional regulator		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1085	HN015_05390	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1086	HN015_05395	Response regulator of the competence regulon ComE		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1087	HN015_05400	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1088	HN015_05405	Efflux ABC transporter%2C permease/ATP-binding protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1089	HN015_05410	Efflux ABC transporter%2C ATP-binding protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.109	HN015_00515	PTS system%2C galactose-specific IIC component		2	25	41	8.0	45.0	52.0	5.0	3.0	0.0	13.0	1686.0	12.0	5.0	12.0	3.0	13.0	1.0	7.0	115.0	4384.0	2410.0			
fig|1254.353.peg.1090	HN015_05415	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1091	HN015_05420	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1092	HN015_05425	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	thiE	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1093	HN015_05430	hypothetical protein	thiS	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1094	HN015_05435	Sulfur carrier protein ThiS adenylyltransferase (EC 2.7.7.73)	thiF	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1095	HN015_05440	Thiazole synthase (EC 2.8.1.10)		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1096	HN015_05445	Allantoate amidohydrolase (EC 3.5.3.9)		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
fig|1254.353.peg.1097	HN015_05450	hypothetical protein		0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
